Id	text	user_location
229	baik mati vaksinasi tiap hari	Bekasi Selatan, Indonesia
230	vaksin vaksin titan jadi tidur tidur lama	Bekasi Selatan, Indonesia
231	sarah gilbert buat vaksin astrazeneca mau untung	Bekasi Selatan, Indonesia
232	min mohon info kapan buka vaksinasi massal soal banyak nunggu bagai syarat jalan jalan kerja	Bekasi Selatan, Indonesia
233	lihat tweet langsung install aplikasi jaki keren banget aplikasi pre screening hasil baru download vaksin tinggal print hasil pre screeningnya terima kasih informasi	Bekasi Selatan, Indonesia
234	terkadang bagai area bisnis segala macam broker selesai sertifikat vaksin	Bekasi Selatan, Indonesia
235	festival vaksin merdeka mula jadwal gelar pekan bulan agustus maju jadi sabtu juli buka umum vaksin anak anak usia    tahun	Bekasi Utara, Indonesia
236	memang vaksin tetap vaksin isi blutut	Bekasi jatiasih 
237	kalau booster vaksin bayar sangat	Bekasi, Jawa Barat
238	walaupun baru pertama kali vaksin efek sekarang rasa efek gaeess jangan sama sama covid pernah jatuh sekarang muntah diare demam cium bau apa sesak	Bekasi, Jawa Barat
239	gitu kayak nunggu antre suntik vaksin tinggal nunggu panggil aja	Bekasi, Jawa Barat
240	plssss tiap mau vaksin kendala misal kayak tiba tiba masuk angin rasa sakit bagaimana cara vaksin flu	Bekasi, Jawa Barat
241	tolak vaksin ivermectin banyak tempat penting atas hidup orang	Bekasi, Jawa Barat
242	apa jadi vaksinasi enam bulan lalu	Bekasi, Jawa Barat
243	ah benar sekali vaksin kakek tua datang pagi daftar tolak daftar lalu jaki datang sendiri siapa tahu cara jaki sedia vaksinasi patut sambut hangat	Bekasi, Jawa Barat
244	pak tulis kabar baik isi berita vaksin pengaruh parah vaksin parah wartawan suka buat berita aneh	Bekasi, Jawa Barat
245	epson kemarin habis vaksin hari libur istirahat	Bekasi, Jawa Barat
246	teman teman keluarga pernah vaksin sinovac kena covid orang tua tinggal istri anak teman rawat isolasi diri alhamdulillah selamat	Bekasi, Jawa Barat
247	selamat pagi sehat sehat semua vaksin ayo vaksin	Bekasi, Jawa Barat
248	besar teman kena covid vaksinasi benar benar sembuh anosmia hari gejala sehat	Bekasi, Jawa Barat
249	sempat vaksinasi buru	Bekasi-Jawa Barat-Indonesia
250	vaksin abai vaksin yakin vaksin buat kebal apa sih paksa diri percaya diri vaksin kalau percaya diri vaksinasi percaya diri booster kebal bu dulu	Bekasi-Lampung-Tasikmalaya
251	contoh ucap ngabalin imho aja tanggap tweet bajer bani bipang tahan tenaga komentar sangkut isi ruang media sosial diskusi lebih akurat misal sehat jurnal vaksin flu wuhan	Bekasi-Lampung-Tasikmalaya
252	maklum bukan cuma kamu capek nama psbb alih buat tugas lapang lelah nah jangan rumah sakit antri vaksinasi massal jadi ujung ujung ketat	Bekasi-Lampung-Tasikmalaya
253	suami anak sholat masjid sejak awal pandemi pagi vaksin pintu depan masjid kunci lalu pintu samping jadi	Bekasi-Lampung-Tasikmalaya
254	maklum bukan cuma kamu capek nama psbb alih buat tugas lapang lelah nah jangan rumah sakit antri vaksinasi massal jadi ujung ujung ketat monitoring kembang jadi bukan sinis sama kamu capek semua	Bekasi-Lampung-Tasikmalaya
255	kalau bilang vaksin mati nama hoax bos angel banget	Bekasi-Lampung-Tasikmalaya
256	teman kakak tinggal kopi padahal x vaksin serius bukan vaksin kurang resiko gejala parah tetap pikir positif mungkin mati innalillahi wa innaillaihi raji un	Bekasi-Lampung-Tasikmalaya
257	maaf bukti vaksin merah putih kok kabar	Belitong
258	sekarang tunggu sedia vaksin sempat perintah pusat vaksin jatim segera tambah	Bengkulu, Indonesia
259	kendala bagai masalah daerah papua aktif vaksinasi covid	Biak - Papua
260	tingkat ppkm panjang hingga agustus tekan sebar c vid tingkat ppkm terap cara rata seluruh wilayah indonesia dukung ppkm disiplin layan sehat partisipasi program vaksinasi massal	Biak Papua
261	gubernur edy walikota medan bobby apresiasi tahap ii vaksinasi gt gt kejatisuisu	Binjai, Indonesia
262	grid milik paket vaksin lanjut	Binuang /Bjb -  South Borneo
263	apa apa hak mau vaksinasi ehhh lapor	Blitar
264	ikut semua bijak perintah psbb ppkm kalau izin giat agama suka kumpul bareng bohong kalau orang biasa ingat orang tuduh noda agama kucil tetangga sibuk tegas klub cap buat vaksin lebih mudah	Blitar city
265	mohon informasi vaksin daerah blitar fren terima kasih banyak	Blitar, Jawa Timur
266	tawar vaksin sombong kata faisal bashir	Blitar, Jawa Timur
